gvkey,indfmt,datafmt,consol,popsrc,curcd,fyear,fyr,datadate,sedol,conm,costat,fic
015604,FS,HIST_STD,C,I,ZAR,1994,12,19941231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,1995,12,19951231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,1996,12,19961231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,1997,12,19971231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,1998,12,19981231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,1999,12,19991231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2000,12,20001231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2001,12,20011231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2002,12,20021231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2003,12,20031231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2004,12,20041231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2005,12,20051231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2006,12,20061231,6515047,LIBERTY GROUP LTD,I,ZAF
015604,FS,HIST_STD,C,I,ZAR,2007,12,20071231,6515047,LIBERTY GROUP LTD,I,ZAF
015618,FS,HIST_STD,C,I,ZAR,1987,9,19870930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1988,9,19880930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1989,9,19890930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1990,9,19900930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1991,9,19910930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1992,9,19920930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1993,9,19930930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1994,9,19940930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1995,9,19950930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1996,9,19960930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1997,9,19970930,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1998,12,19981231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,1999,12,19991231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2000,12,20001231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2001,12,20011231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2002,12,20021231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2003,12,20031231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2004,12,20041231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2005,12,20051231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2006,12,20061231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2007,12,20071231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2008,12,20081231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2009,12,20091231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2010,12,20101231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2011,12,20111231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2012,12,20121231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2013,12,20131231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2014,12,20141231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2015,12,20151231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2016,12,20161231,6628008,NEDBANK GROUP LTD,A,ZAF
015618,FS,HIST_STD,C,I,ZAR,2017,12,20171231,6628008,NEDBANK GROUP LTD,A,ZAF
015621,FS,HIST_STD,C,I,ZAR,1987,6,19870630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1988,6,19880630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1989,6,19890630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1990,6,19900630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1991,6,19910630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1992,6,19920630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1993,6,19930630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1994,6,19940630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1995,6,19950630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1996,6,19960630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1997,6,19970630,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
015621,FS,HIST_STD,C,I,ZAR,1998,12,19981231,6588102,MUTUAL AND FEDERAL INSURANCE,I,ZAF
