globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
23200,01W,2014,ZAR,11.23459770114942,13.28
24946,01W,2011,ZAR,17.029545454545453,16.99
24946,01W,2012,ZAR,17.49190476190476,18.0
24946,01W,2013,ZAR,21.862999999999996,22.17
24946,01W,2014,ZAR,26.25,26.25
24946,01W,2015,ZAR,29.561363636363634,30.15
24946,01W,2016,ZAR,24.454312977099224,22.64
25052,01W,2010,ZAR,72.0604347826087,72.5
25052,01W,2011,ZAR,79.76181818181819,79.48
25052,01W,2012,ZAR,111.7695238095238,111.17
25052,01W,2013,ZAR,119.65636363636364,121.6
25052,01W,2014,ZAR,123.68739130434784,122.69
25052,01W,2015,ZAR,116.55130434782608,115.18
25052,01W,2016,ZAR,120.29839080459767,111.0
60918,01W,2010,ZAR,79.29695652173915,79.22
60918,01W,2011,ZAR,64.50590909090909,68.58
60918,01W,2012,ZAR,33.232857142857135,36.0
60918,01W,2013,ZAR,38.76136363636362,37.3
60918,01W,2014,ZAR,25.444347826086954,26.41
60918,01W,2015,ZAR,4.6378260869565215,4.5
60918,01W,2016,ZAR,8.814942528735624,11.5
62997,01W,2010,ZAR,18.11363636363636,18.96
62997,01W,2011,ZAR,20.586818181818185,20.87
62997,01W,2012,ZAR,28.507500000000004,28.6
62997,01W,2013,ZAR,30.950952380952387,31.21
62997,01W,2014,ZAR,42.57318181818182,41.13
62997,01W,2015,ZAR,28.309545454545454,25.8
62997,01W,2016,ZAR,21.092022900763336,19.44
100147,01W,2010,GBP,16.566363636363636,16.69
100147,01W,2011,USD,18.879422181818178,17.004129
100147,01W,2012,USD,9.3879186,8.84418
100147,01W,2013,USD,5.207854628571428,4.9389324
100147,01W,2014,USD,3.468375818181818,3.0814930000000005
100147,01W,2015,GBP,0.22434545454545454,0.1625
100147,01W,2016,GBP,1.2598408396946559,2.005
100166,01W,2010,ZAR,44.287272727272736,46.8
100166,01W,2011,ZAR,61.1,60.37
100166,01W,2012,ZAR,75.24650000000001,71.9
100166,01W,2013,ZAR,93.75619047619048,95.38
100166,01W,2014,ZAR,97.4509090909091,92.5
100166,01W,2015,ZAR,82.26772727272727,75.4
100166,01W,2016,ZAR,74.55912213740453,83.27
100434,01W,2010,ZAR,22.699090909090906,22.1
100434,01W,2011,ZAR,29.82318181818182,31.2
100434,01W,2012,ZAR,48.74238095238095,50.0
100434,01W,2013,ZAR,55.511,59.45
100434,01W,2014,ZAR,60.31333333333333,61.25
100434,01W,2015,ZAR,78.35863636363638,81.55
100434,01W,2016,ZAR,82.63408396946564,83.0
100465,01W,2010,ZAR,281.2622727272728,274.6
100465,01W,2011,ZAR,349.47499999999997,355.98
100465,01W,2012,ZAR,358.8004761904761,342.4
100465,01W,2013,ZAR,429.54050000000007,431.54
100465,01W,2014,ZAR,625.0085714285715,632.36
100465,01W,2015,ZAR,432.1136363636364,450.0
100465,01W,2016,ZAR,419.6627272727273,397.17
100465,01W,2017,ZAR,386.48222222222216,366.5
100472,03W,2009,GBP,18.979130434782608,19.32
100472,03W,2010,GBP,20.754130434782606,22.075
100472,03W,2011,USD,41.23705472727274,40.0340535
100472,03W,2012,USD,51.62690128571428,52.074312000000006
100472,03W,2013,USD,48.290119809523816,50.05244
100472,03W,2014,USD,56.25925736363635,54.41334
100472,03W,2015,USD,55.42642185114505,63.086688
100767,01W,2010,ZAR,81.49000000000001,82.5
100767,01W,2011,ZAR,81.49318181818181,82.64
100767,01W,2012,ZAR,78.12095238095237,79.8
100767,01W,2013,ZAR,120.08545454545455,125.0
100767,01W,2014,ZAR,130.49565217391307,133.82
100767,01W,2015,ZAR,88.09565217391305,88.66
100767,01W,2016,ZAR,93.49501915708811,101.1
101112,01W,2009,ZAR,101.72782608695653,103.0
101112,01W,2010,ZAR,97.22478260869563,97.49
101112,01W,2011,ZAR,103.53727272727271,103.99
101112,01W,2012,ZAR,140.02761904761905,143.45
101112,01W,2013,ZAR,109.66238095238094,113.68
101112,01W,2014,ZAR,140.0490909090909,134.5
101112,01W,2015,ZAR,99.16826086956522,104.44
101112,01W,2016,ZAR,122.01501915708813,123.06
101933,05W,2010,ZAR,62.29045454545455,63.5
101933,05W,2011,ZAR,61.34500000000002,60.14
101933,05W,2012,ZAR,59.617,59.39
101933,05W,2013,ZAR,67.67095238095239,68.55
101933,05W,2014,ZAR,54.23095238095239,53.14
101933,05W,2015,ZAR,49.690909090909095,50.45
101933,05W,2016,ZAR,42.38227272727273,44.29
101933,05W,2017,ZAR,51.97482758620693,59.1
102016,01W,2010,ZAR,84.06136363636364,82.5
102016,01W,2011,ZAR,88.82454545454544,91.6
102016,01W,2012,ZAR,87.28999999999999,89.35
102016,01W,2013,ZAR,97.57,95.61
102016,01W,2014,ZAR,108.94095238095237,110.0
102016,01W,2015,ZAR,114.35954545454547,110.5
102016,01W,2016,ZAR,81.60885057471266,87.0
102035,02W,2010,ZAR,29.915000000000006,31.96
102035,02W,2011,ZAR,23.478181818181817,23.25
102035,02W,2012,ZAR,28.494500000000006,29.0
102035,02W,2013,ZAR,30.08238095238096,30.2
102035,02W,2014,ZAR,32.35045454545454,29.56
102035,02W,2015,ZAR,16.461111111111112,12.2
102035,02W,2016,ZAR,7.928429118773947,6.51
102039,01W,2010,ZAR,189.05590909090907,180.0
102039,01W,2011,ZAR,181.6768181818182,182.19
102039,01W,2012,ZAR,139.2004761904762,135.25
102039,01W,2013,ZAR,96.0865,93.0
102039,01W,2014,ZAR,112.03761904761907,106.88
102039,01W,2015,ZAR,59.053636363636365,54.3
