Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
211053,Cashbuild Ltd,Consumer Discretionary,2015,6,,1,1,1,1,1,0,1,,1,0,0,1,1,0,0,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,32,
211053,CASHBUILD,Consumer Discretionary,2016,6,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,35,
211059,Combined Motor Holdings Ltd,Consumer Discretionary,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,21,
211059,COMBINED MOTOR,Consumer Discretionary,2016,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,19,
211104,Italtile Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,21,
211104,ITALTILE LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,21,
211126,Tsogo Sun Holdings Ltd,Consumer Discretionary,2015,3,,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,,1,1,1,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,39,
211126,TSOGO SUN HOLDINGS LTD,Consumer Discretionary,2016,3,,1,1,1,1,1,1,1,,1,1,0,1,1,1,1,,1,1,1,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,39,
211175,Mr. Price Group Ltd,Consumer Discretionary,2015,3,,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,,1,1,1,1,1,1,0,36,
211175,MR PRICE GROUP LTD,Consumer Discretionary,2016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
211603,Imperial Holdings Ltd (Ipl),Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,0,0,,1,0,0,1,0,0,0,,1,0,0,1,1,0,0,16,
211603,IMPERIAL HOLDINGS LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,22,
212241,Super Group Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,21,
212241,SUPER GROUP LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,1,1,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,23,
218003,"Woolworths Holdings Ltd, South Africa",Consumer Discretionary,2015,6,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,0,0,0,1,,1,0,0,0,0,0,1,,1,0,0,1,0,0,1,,1,0,0,1,0,0,1,20,
218003,WOOLWORTHS HLDGS LTD,Consumer Discretionary,2016,6,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,0,0,1,1,,1,0,0,1,0,1,1,,1,0,0,1,0,1,1,,1,0,0,0,0,1,1,24,
223145,Caxton And Ctp Publishers And Printers Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,19,
223145,CAXTON & CTP PUBERS & PRINT,Consumer Discretionary,2016,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,1,0,1,0,,1,0,0,1,1,1,0,19,
226899,Truworths International Ltd,Consumer Discretionary,2015,6,,1,0,0,1,1,0,1,,1,0,0,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,0,0,1,1,0,1,,1,1,1,1,1,0,1,30,
