globalcompanykey,industryformat,comparabilitystatus,isocurrencycode,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,assetstotal,capitalexpenditures,debtincurrentliabilitiestotal,longtermdebttotal,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,intangibleassetstotal,liabilitiestotal,operatingactivitiesnetcashflow,salesturnovernet,stockexchangecode,comsharesoutstandingissue,netincomelossconsolidated,companylegalname,gicsectors,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth,tobins_q,tobins_q1
25052,FS,,ZAR,2015,12,115.18,1,419318,,16159,3914,0,0,2,317,393325,,,177,270.371,4009,Liberty Holdings Ltd,40,Financials,.00075598952,10.405787,.0095607629,.047870591,2,.0052312212,31141.332,,.11600289,1.0282053,
25052,FS,,ZAR,2016,12,111,1,421890,,11748,4601,0,0,2,390,392884,,,177,272.24701,2207,Liberty Holdings Ltd,40,Financials,.00092441158,12.9525,.0052312212,.038751807,2,,30219.418,,.0061337696,,
60918,INDL,,ZAR,2015,12,4.5,1,30962,1245,5092,193,0,0,0,112,17490,-1107,31141,177,401.202,-8635,ArcelorMittal South Africa Ltd,15,Materials,.0036173374,7.7999172,-.27889025,.17069311,0,-.15356001,1805.4089,-.10647883,-.062496215,,
60918,INDL,,ZAR,2016,12,11.5,1,30646,1983,2020,124,0,0,0,103,17103,90,32737,177,1093.51,-4706,ArcelorMittal South Africa Ltd,15,Materials,.0033609606,10.330257,-.15356001,.069960192,0,,12575.365,.051250763,-.010206059,,
62997,INDL,,ZAR,2015,9,25.8,1,24407.5,771,4119.1001,4212,946.20001,0,.1,4118.6001,15235.1,-511.60001,17291.301,177,630.05701,1437.9,Nampak Ltd,15,Materials,.16874322,7.562047,.058912221,.3413336,946.29999,.06680689,16255.471,-.13415784,.11495084,1.6146874,
62997,INDL,,ZAR,2016,9,19.44,1,24103.801,951.70001,1322.8,6202.1001,575.5,0,.1,4043.3999,14659.3,1465.9,19138.9,177,639.88397,1610.3,Nampak Ltd,15,Materials,.16774948,10.090125,.06680689,.31218728,575.59998,,12439.345,.10685139,-.012442864,,
100166,INDL,,ZAR,2015,9,75.40000000000001,1,48155,1363,4351,9074,814,0,0,3240,28113,-883,62720,177,212.13499,1713,Barloworld Ltd,20,Industrials,.067282736,8.2415819,.035572629,.27878726,814,.040915214,15994.979,.0099676335,.094282597,.99194133,
100166,INDL,,ZAR,2016,9,83.27,1,46022,980,2665,8379,772,0,0,3728,26343,5715,66547,177,210.54401,1883,Barloworld Ltd,20,Industrials,.081004739,10.736875,.040915214,.23997219,772,,17532,.061017219,-.044294465,,
100434,INDL,,ZAR,2015,6,81.55,1,8034,848.90002,1665.1,0,1634.7,1061.9,0,1146.6,4093.5,1540.8,11243.7,177,320.121,1332.3,AVI Ltd,30,Consumer Staples,.14271845,6.450839,.16583271,.20725666,2696.6001,.16401103,26105.867,.095087342,.13113506,3.4909542,
100434,INDL,,ZAR,2016,6,83,1,9031.0996,881.79999,1737.7,0,1126.9,1193.9,0,1145.4,4541.6001,1648,12188.9,177,322.69199,1481.2,AVI Ltd,30,Consumer Staples,.12682842,9.108429,.16401103,.19241288,2320.8,,26783.436,.084064871,.12410998,,
100465,INDL,,ZAR,2015,6,450,1,323599,45027,3650,39269,12739,11498,0,2293,127116,53675,185266,177,642.28497,29716,Sasol Ltd,15,Materials,.0070859306,10.146662,.091829702,.1326302,24237,.033848289,289028.25,-.085932218,.15462208,1.3821992,
100465,INDL,,ZAR,2016,6,397.17,1,390714,70387,2136,78015,10680,9190,0,2680,178296,44615,172942,177,642.58002,13225,Sasol Ltd,15,Materials,.0068592373,12.875731,.033848289,.20513982,19870,,255213.5,-.066520572,.20740175,,
100472,,,USD,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100767,INDL,,ZAR,2015,12,88.66,1,17794,583,2656,672,838,425,3,1847,8752,1261,18446,177,109.1,1007,AECI Ltd,15,Materials,.10379903,7.2460179,.056592111,.18702933,1266,.049115043,9672.8057,.091285571,.2033543,1.1804386,
100767,INDL,,ZAR,2016,12,101.1,1,15820,494,237,1600,435,478,3,1752,6774,1918,18596,177,98.059998,777,AECI Ltd,15,Materials,.11074589,9.6690302,.049115043,.11611883,916,,9913.8662,.008131844,-.11093627,,
101112,INDL,,ZAR,2015,3,134.5,1,30829,1223,3563,4396,512,0,0,650,15299,361,16676,177,135.11301,820,Tongaat- Hulett Ltd,30,Consumer Staples,.021084044,7.7956123,.026598332,.25816602,512,.035164915,18172.699,.032250077,.16147384,1.0156893,
101112,INDL,,ZAR,2016,3,104.44,1,27954,1043,3678,4975,176,0,0,748,15216,1884,17915,177,135.11301,983,Tongaat- Hulett Ltd,30,Consumer Staples,.026758246,10.238316,.035164915,.30954427,176,,14111.202,.074298389,-.093256347,,
101933,INDL,,ZAR,2015,6,50.45,1,5457.9521,79.863998,317.483,513.75299,4.5370002,117.947,0,743.15601,2341.0281,432.02301,5528.3691,177,168.88499,197.93201,Adcock Ingram Holdings Ltd,35,Health Care,.13616022,6.0642304,.036264885,.15229815,122.484,.065940492,8520.248,.52916461,.0096396366,,
