globalcompanykey,isocurrencycode,datayearfiscal,fiscalyearendmonth
102162,ZAR,2014,9
102162,ZAR,2015,9
102162,ZAR,2016,9
102236,ZAR,2008,6
102236,ZAR,2009,6
102236,ZAR,2010,6
102236,ZAR,2011,6
102236,ZAR,2012,6
102236,ZAR,2013,6
102236,ZAR,2014,6
102236,ZAR,2015,6
102236,ZAR,2016,6
102277,ZAR,2008,9
102277,ZAR,2009,9
102277,ZAR,2010,9
102277,ZAR,2011,9
102277,ZAR,2012,9
102277,ZAR,2013,9
102277,ZAR,2014,9
102277,ZAR,2015,9
102277,ZAR,2016,9
102341,ZAR,2008,6
102341,ZAR,2010,6
102341,ZAR,2011,6
102341,ZAR,2012,6
102341,ZAR,2014,6
102341,ZAR,2015,6
102341,ZAR,2016,6
102412,ZAR,2008,12
102412,ZAR,2009,12
102412,ZAR,2010,12
102412,ZAR,2011,12
102412,ZAR,2012,12
102412,ZAR,2013,12
102422,USD,2008,9
102422,USD,2009,9
102422,USD,2010,9
102422,USD,2011,9
102422,USD,2012,9
102422,USD,2013,9
102422,USD,2014,9
102422,USD,2015,9
102422,USD,2016,9
102497,ZAR,2008,3
102497,ZAR,2009,3
102497,ZAR,2010,3
102497,ZAR,2011,3
102497,ZAR,2012,3
102497,ZAR,2013,3
102497,ZAR,2014,3
102497,ZAR,2015,3
102497,ZAR,2016,3
102543,ZAR,2008,2
102543,ZAR,2009,2
102543,ZAR,2010,2
102543,ZAR,2011,2
102543,ZAR,2012,2
102543,ZAR,2013,2
102543,ZAR,2014,2
102543,ZAR,2015,2
102543,ZAR,2016,2
102544,ZAR,2008,2
102544,ZAR,2009,2
102544,ZAR,2010,2
102544,ZAR,2011,2
102544,ZAR,2012,2
102544,ZAR,2013,2
102544,ZAR,2014,2
102544,ZAR,2015,2
102544,ZAR,2016,2
103026,ZAR,2008,3
103026,ZAR,2009,3
103026,ZAR,2012,6
103026,ZAR,2013,6
103026,ZAR,2014,6
103026,ZAR,2015,6
103026,ZAR,2016,6
103252,ZAR,2008,8
103252,ZAR,2009,8
103252,ZAR,2010,8
103252,ZAR,2011,8
103252,ZAR,2013,6
103252,ZAR,2014,6
146202,ZAR,2008,12
146202,ZAR,2009,12
146202,ZAR,2010,12
146202,ZAR,2011,12
146202,ZAR,2012,12
146202,ZAR,2013,12
146202,ZAR,2014,12
146202,ZAR,2015,12
146202,ZAR,2016,12
152649,ZAR,2008,3
152649,ZAR,2009,3
152649,ZAR,2010,3
152649,ZAR,2011,3
152649,ZAR,2012,3
152649,ZAR,2013,3
152649,ZAR,2014,3
152649,ZAR,2015,3
152649,ZAR,2016,3
200019,ZAR,2008,6
200019,ZAR,2009,6
200019,ZAR,2010,6
200019,ZAR,2011,6
200019,ZAR,2012,6
200019,ZAR,2013,6
200019,ZAR,2014,6
200019,ZAR,2015,6
200019,ZAR,2016,6
200138,ZAR,2008,2
200138,ZAR,2009,2
200138,ZAR,2010,2
200138,ZAR,2011,2
200138,ZAR,2012,2
200138,ZAR,2013,2
200138,ZAR,2014,2
200138,ZAR,2015,2
200138,ZAR,2016,2
201023,GBP,2008,12
201023,GBP,2009,12
201023,GBP,2010,12
201023,GBP,2011,12
202546,ZAR,2008,9
202546,ZAR,2009,9
202546,ZAR,2010,9
202546,ZAR,2011,9
202546,ZAR,2012,9
202546,ZAR,2013,9
202546,ZAR,2014,9
202546,ZAR,2015,9
202546,ZAR,2016,9
204211,ZAR,2008,6
204211,ZAR,2009,6
204211,ZAR,2011,6
204211,ZAR,2012,6
204211,ZAR,2013,6
204211,ZAR,2014,6
204211,ZAR,2015,6
205081,ZAR,2008,3
205081,ZAR,2009,3
205081,ZAR,2010,3
205081,ZAR,2011,3
205081,ZAR,2012,3
205081,ZAR,2013,3
205081,ZAR,2014,3
206059,ZAR,2008,3
