Global Company Key,company name ,sector ,datayearfiscal,fiscalyearendmonth,Financial capital ,financial capital contains,financial input,financial output,financial numerical numbers,financial time series,financial consistent ,Business model financial,Manufacturing Capital,Manufacturing capital contains,Manufacturing input,Manufacturing output,Manufacturing numerical numbers,Manufacturing time series,Manufacturing consistent,Business model Manufacturing,Intellectual Capital,Intellectual capital contains,Intellectual input,Intellectual output,Intellectual numerical numbers,Intellectual time series,Intellectual consistent ,Business model Intellectual,human capital,human capital contains,human input,human output,human numerical numbers,human time series,human consistent ,Business model human,social and relationship,social and relationship capital contains,social and relationship input,social and relationship output,social and relationship numerical numbers,social and relationship time series,social and relationship consistent ,Business model social and relationship,natural capital,natural capital contains,natural input,natural output,natural numerical numbers,natural time series,natural consistent ,Business model natural,irscoretotal,
211046,Bowler Metcalf,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,0,0,0,0,0,0,0,14,
211188,Transpaco Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,0,0,17,
211617,York Timber Holdings Ltd,Materials,2015,6,,1,0,0,1,1,0,1,,1,0,0,1,0,0,1,,1,0,0,1,0,0,1,,1,0,0,1,1,0,1,,1,0,0,1,0,0,1,,1,0,0,0,0,0,1,19,
212424,Bauba Platinum Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,14,
222143,Trans Hex Group Ltd,Materials,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,,1,0,0,0,0,1,0,19,
240403,Winhold Ltd,Materials,2015,9,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,1,0,1,0,17,
274950,Wesizwe Platinum Ltd,Materials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,0,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,,1,0,0,1,0,1,0,18,
281454,Afrimat Ltd,Materials,2015,2,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,16,
281544,Kumba Iron Ore Ltd,Materials,2015,12,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,0,1,,1,1,1,1,1,0,1,,1,1,1,1,1,0,1,,1,1,1,1,0,1,1,35,
281651,Accentuate Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,18,
284735,Rolfes Holdings Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,,1,0,0,0,0,1,0,18,
285081,Hulamin Ltd,Materials,2015,12,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,1,1,1,,1,0,0,1,0,1,1,,1,0,0,1,0,1,1,,1,0,0,1,1,1,1,28,
285170,Mondi PLC/Ltd (ZAF),Materials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,23,
288811,Extract Group Ltd,Materials,2015,6,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,,1,0,0,1,1,1,0,,1,0,0,1,1,0,0,22,
292639,Sephaku Holdings Ltd,Materials,2015,3,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,1,0,1,0,,1,0,0,0,0,0,0,14,
295796,Royal Bafokeng Platinum Ltd,Materials,2015,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,0,0,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,40,
298289,Mpact Ltd,Materials,2015,12,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,0,0,1,1,,1,1,1,1,0,1,1,,1,1,1,0,0,1,1,,1,1,1,1,0,1,1,36,
314534,Master Drilling Group Limited,Materials,2015,12,,1,0,0,1,1,1,0,,1,0,0,1,1,1,0,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,13,
318745,Oakbay Resources and Energy Ltd,Materials,2015,2,,1,0,0,1,1,0,0,,1,0,0,1,1,0,0,,0,0,0,0,0,0,0,,1,0,0,1,0,0,0,,1,0,0,1,0,0,0,,1,0,0,1,1,0,0,13,
100166,Barloworld Ltd,Industrials,2015,9,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,0,0,0,1,1,,1,1,1,1,1,1,1,,1,1,0,1,0,1,1,,1,1,1,1,1,1,1,37,
