globalcompanykey,industryformat,dataformat,levelofconsolidationcompanyannua,populationsource,accountingstandard,acquisitionmethod,balancesheetpresentation,comparabilitystatus,isocurrencycode,finalindicatorflag,datayearfiscal,fiscalyearendmonth,pricecloselastday,yearcheck,incomestatementmodelnumber,periodduration,cashflowformat,sourcedocument,statusalert,updatecode,datadate,finaldate,preliminarydate,accruedliabilitiesincreasedecrea,acceptancesoutstanding,currentassetsothertotal,othercurrentassetstotalfsmemo,currentassetsothersundry,othercurrentassetsfsmemo,acquisitionsanddisposalsnetcashf,acquisitionsanddisposalsother,currentassetstotal,amortizationofdeferredpolicyacqu,amortizationofintangibles,amortizationofdeferredcharges,assetsother,assetsandliabilitiesothernetchan,assetsothersundry,accountspayabletrade,accountspayableandaccruedliabili,accountspayableincreasedecrease,customerdepositsshorttermfsmemo,tradeaccountspayablefsmemo,accountspayableother,accountspayablecreditorsotherfs,acquisitions,accountsreceivabledebtorstotal,associatedundertakingsdisposal,associatedundertakingsinvestment,assetstotal,assetsotherchange,appropriationstountaxedreserves,brokerageclearingandexchangefees,benefitsandclaimstotalinsurance,customersacceptance,capitalizedcosts,capitalelementoffinanceleaserent,riskadjustedcapitalratiotier1,riskadjustedcapitalratiotier2,riskadjustedcapitalratiocombined,riskadjustedcapitalratiototal,capitalsurplussharepremiumreserv,capitalexpenditures,capitalexpendituresandfinanciali,commonordinaryequitytotal,commissionsandfeesbrokerdealer,commissionsandfeesrealestate,cashflowadjustmentsother,commissionsandfeesother,commissionsandfeespaidother,capitalgainsaftertax,cash,cashandshortterminvestments,cashandcashequivalentsatbeginnin,cashandcashequivalentsincreasede,cashandcashequivalentsatendofyea,cashandshortterminvestmentstotal,cashcashequivalentsnetfundsincre,cashfsmemo,cashanddepositssegregated,commercialpaper,costofgoodssold,reservesforclaimslossesnonlifein,commonordinaryshareholders,commonordinarystockcapital,customeradvances,debtatbeginningofyear,debtatendofyear,deferredcharges,currentdebtsourceoffunds,currentdebtuseoffunds,longtermdebtdueinoneyear,longtermdebtcurrentportionfsmemo,deferredpolicyacquisitioncosts,depreciationoftangiblefixedasset,disposalsothergainloss,debtincurrentliabilitiestotal,currentdebtchanges,shorttermdebttotalfsmemo,longtermdebtissuance,longtermdebtreduction,longtermdebttotal,discontinuedoperations,discontinuedoperationscashflow,depreciationandamortization,depreciationdepletionandamortiza,depreciationandamortizationcashf,depositsdemandcustomer,depositslongtermtimebank,depositssavingscustomer,depositsshorttermdemandbank,depositstotalbanks,depositstotalcustomer,depositstimecustomer,cashdividendscashflow,dividendscommonordinary,dividendspreferredpreference,dividendsandbonusespaidpolicyhol,dividendsreceivedcashflow,developmentrevenuerealestate,dividendssharecapitalother,dividendstotal,exchangeadjustmentsassets,earningsbeforeinterestandtaxes,earningsbeforeinterest,equityinearningsaftertax,equityinterestinearningsofassoci,employees,equitydividendpaid,equityreservesother,exchangerateeffect,exchangerateeffectsourceoffunds,exchangerateeffectuseoffunds,propertyplantandequipmentbuildin,propertyplantandequipmentmachine,propertyplantandequipmentleasesa,propertyplantandequipmentlandand,foreignexchangeincomeloss,federalfundspurchased,foreignexchangeassets,foreignexchangeliabilities,federalfundssold,financingactivitiesother,financingactivitiesnetcashflow,financingincreasetotal,financeleaseincreases,financingrepaymentsreductionstot,fundsfrominvestmentandfinanceact,fundsfromoperationsother,sourcesoffundsother,sourcesofoperatingfundsother,sourceoffundsfromoperationstotal,sourcesoffundstotal,usesoffundsother,usesoffundstotal,goodwill,investmentassetsequitysecurities,investmentassetsfixedincomesecur,investmentassetsloansotherinsura,investmentassetsloanstotalinsura,investmentassetsmortgageloansins,investmentassetsotherinsurance,investmentassetspolicyloansinsur,investmentassetsrealestateinsura,investmentassetssecuritiessundry,investmentassetssecuritiestotali,investmentassetstotalinsurance,incomebeforeextraordinaryitems,incomebeforeextraordinaryitemsca,investmentbankingincome,incomebeforeextraordinaryitemsan,investedcapitaltotal,interestanddividendincomeinvestm,interestanddividendincomeloanscl,v176,interestanddividendincomesundry,interestanddividendincomeshortte,interestandrelatedincometotal,interestanddividendincometrading,investmentincomerealestate,incomenoninteresttotalbank,intangibleassetstotal,intangibleassetsdisposal,intangibleassetspurchase,interestcapitalized,interestanddividendadjustmentsfi,interestelementoffinanceleases,interestanddividendadjustmentsin,interestanddividendadjustmentsop,interestpaid,interestpaidnet,interestreceived,inventorydecreaseincrease,investmentsdisposal,inventoriesfinishedgoods,inventoriesother,inventoriesrawmaterials,investmentsandservicingoffinance,inventoriestotal,inventoriesfsmemo,inventoriesworkinprocess,incomeotherbrokerdealer,incomeotherinsurance,incomeotherrealestate,investmentproperty,insurancepremiumstotalinsurance,investmentsecuritiesgainlossreal,investmentsecuritiesgainlosstota,investmentsecuritiesgainlossunre,investmentsecuritiesother,investmentsecuritiestotal,investingactivitiesother,investmentandadvancesequity,investmentandadvancesother,increaseininvestments,investmentsgrantsandotherdeducti,investmentincometotalinsurance,investingactivitiesnetcashflow,investmentspermanenttotal,shortterminvestmentstotal,shortterminvestmentschange,shortterminvestmentsfsmemo,loansclaimsadvancesbanksandgover,loansclaimsadvancescommercial,loansclaimsadvancesconsumer,loansclaimsadvancesgovernment,loansclaimsadvanceslease,loansclaimsadvanceslongtermbanks,loansclaimsadvancesmortgage,loansclaimsadvancesother,loansclaimsadvancesshorttermbank,loansclaimsadvancestotal,currentliabilitiesothertotal,othercurrentliabilitiesfsmemo,currentliabilitiesothersundry,currentliabilitiestotal,othercurrentliabilitiestotalfsme,loansclaimsadvancescustomertotal,managementofliquidresourcesnetca,liquidresourcesothermovements,loansanddepositsincreasedecrease,loanincreaseadditions,loansmaderepaid,loanrepaymentsreductions,liabilitiesothertotal,liabilitiesandstockholdersequity,liabilitiestotal,longtermdebtchange,longtermdebtliabilitieschange,longtermliabilitiesotherincrease,noncontrollinginterestbalanceshe,noncontrollinginterestsnonredeem,noncontrollingintereststotalbala,noncontrollinginterestcashflow,noncontrollinginterestincomeacco,noncontrollinginterestinstockhol,loansfromsecuritiesfinancecompan,netcashflowbeforemanagementofliq,nonequityandnoncontrollingintere,netitemsother,netitemtotal,netoverdraftsacquiredwithsubsidi,nonoperatingincomeexpense,notespayableshorttermborrowings,nonperformingassetsnonaccrualloa,nonperformingassetsotherrealesta,nonperformingassetsrestructuredl,nonperformingassetstotal,shorttermborrowingsfsmemo,operatingactivitiesnetcashflow,operatingactivitiesnetcashflowco,operatingactivitiesnetcashflowdi,operatingincomeafterdepreciation,operatingincomebeforedepreciatio,othernetbalancesatbeginningofyea,othernetbalancesatendofyear,operatingprofit,preacquisitionprofits,provisioncreditlossesincomeaccou,pretaxincome,pensionliabilitieschange,propertyplantandequipmenttotalgr,propertyplantandequipmenttotalne,participationrightscertificates,proposeddividends,proceedsfromsaleoffixedassetsand,purchaseofcommonandpreferredstoc,provisionscashflow,proceedsfromsaleoffixedassets,preferredpreferencestockcapitalt,preferredpreferencestocknonredee,preferredpreferencestockredeemab,principaltransactions,purchaseoftreasuryshares,provisionsothernet,provisionstotal,reinsuranceassetsdepositsandothe,resaleagreements,reinsuranceassetsreceivabledebto,reinsuranceassetstotalinsurance,rawmaterialssuppliesandmerchandi,reservesforcreditlossesassets,retainedearnings,accountsreceivabledecreaseincrea,receivablescurrentother,receivablesotherfsmemo,receivablestotal,receivablestotalfsmemo,receivablestrade,receivablestradefsmemo,revenuetotal,revenueincomesundry,reinsurersliabilityforreservesin,reinsuranceliabilitiestotal,repurchaseagreements,reserves,reservesforbenefitslifeclaimsins,reservesforbenefitslifepolicyins,reservesforbenefitslifetotalinsu,equityreservestotal,revaluationreserve,reservesreinsuranceinsurance,reservessundryinsurance,reservestotal,reservesforunearnedpremiumsinsur,reservesuntaxed,separateaccountassets,separateaccountliabilities,salesturnovernet,securitiesborrowedanddepositedby,securitiesincustody,sharecapitalother,stockholdersequityparent,sharecapitaltransactionsother,saleofinvestments,specialitems,saleoffixedassetsgainloss,saleofpropertyplantandequipmenta,securitiessoldnotyetpurchased,saleofcommonandpreferredstock,shorttermborrowingsother,saleoftangiblefixedassets,shortterminvestmentsincreasedecr,shortterminvestmentsother,changeinstocks,subsidiaryundertakingsdisposal,subsidiaryundertakingspurchase,tradingdealingsecuritiesgainloss,tradingdealingaccountsecuritiest,stockholdersequitytotal,cumulativetranslationadjustment,treasurystockcurrentasset,treasurystocktotalallcapital,treasurystocklongtermasset,taxation,incometaxescurrent,deferredtaxesbalancesheet,deferredtaxescashflow,incometaxesdeferred,deferredtaxesandinvestmenttaxcre,incometaxesother,taxationoperatingactivities,incometaxespayable,incometaxespaid,taxespayablecurrentfsmemo,incometaxestotal,excisetaxes,unearnedincome,unappropriatednetloss,unappropriatednetprofitstockhold,investmentspermanentassociatedco,investmentspermanentother,workingcapitalbalancesheet,workingcapitalchangetotal,workingcapitalchange,workingcapitalnetoperatingassets,workingcapitalchangesourceoffund,workingcapitalchangeseparateacco,sourceanduseoffundsworkingcapita,workingcapitalcashnetfundschange,workingcapitalchangeuseoffunds,accruedexpenses,accruedexpensesdeferredincomefsm,administrativeandgeneralexpenseo,administrativeandgeneralexpenset,communicationsexpense,commissionsexpenseinsurance,expensedevelopmentrealestate,equipmentandoccupancyexpense,extraordinaryitems,extraordinaryitemsanddiscontinue,v393,interestexpensedepositsbanks,interestexpensedepositscustomer,interestexpensesundry,interestexpenseshorttermborrowin,interestandrelatedexpensetotal,interestexpenselongtermdebt,investmentexpenseinsurance,expenseinvestmentrealestate,staffexpensetotal,expensenoninteresttotalbank,expenseotherbrokerdealer,expensesotherinsurance,operatingexpensestotal,operatingexpenseother,expenseotherrealestate,prepaidexpenses,prepaidexpensesaccruedincomefsme,pensionandretirementexpense,researchanddevelopmentexpense,rentalexpense,expensesundry,sellinggeneralandadministrativee,staffexpenseincomeaccount,staffexpenseother,staffexpensewagesandsalaries,expensetotal,stockexchangecode,internationalsecurityidentificat,sedol,adjustmentfactorinternationaliss,comsharesoutstandingissue,commonsharesusedtocalculateearni,earningspersharebasicexcludingex,v427,earningspersharebasicincludingex,v429,issuedcapital,netincomelossconsolidated,netincomelossnonconsolidated,parvalueissue,treasurystocknumberofcommonshare,companyname,activeinactivestatusmarker,currentisocountrycodeincorporati,northamericaindustrialclassifica,standardindustrialclassification,amortizationofgoodwillfootnote,customerdepositsshorttermfsmemof,accountspayablecreditorsotherfsf,accountsreceivabledebtorstotalfo,associatedundertakingsdisposalfo,v445,riskadjustedcapitalratiotier2foo,riskadjustedcapitalratiototalfoo,v448,cashandshortterminvestmentsfootn,commonstockequivalentsdollarsavi,debtincurrentliabilitiestotalfoo,shorttermdebttotalfsmemofootnote,longtermdebttotalfootnote,accumulateddepreciationofreprope,v455,depositstotalbanksfootnote,depositstotalcustomerfootnote,depreciationaccumulatedretiremen,cashdividendscashflowfootnote,v460,dividendsreceivedfrompermanentin,developmentrevenuerealestatefoot,employeesfootnote,financingincreasetotalfootnote,financeleaseincreasesfootnote,v466,v467,investmentassetstotalinsurancefo,v469,v470,v471,interestandrelatedincometotalfoo,v473,investmentincomerealestatefootno,intangibleassetstotalfootnote,otherintangiblesfootnote,interestpaidfootnote,interestreceivedfootnote,investmentsdisposalfootnote,inventoriesfsmemofootnote,individualpremiumstotalbusinessl,investmentpropertyvaluationfootn,investmentsecuritiesotherfootnot,investmentsecuritiestotalmarketf,increaseininvestmentsfootnote,investmentincometotalinsurancefo,loansclaimsadvancesotherfootnote,loansclaimsadvancescustomerfootn,loanincreaseadditionsfootnote,loanrepaymentsreductionsfootnote,v491,operatingprofitfootnote,premiumscededlifefootnote,v494,proceedsfromsaleoffixedassetsfoo,v496,reservesforcreditlossesassetsfoo,receivablestradefootnote,retainedearningsunrestrictedfoot,revenuetotalfootnote,reservestaxregulatedfootnote,proformanetsalescurrentyearfootn,saleofinvestmentsfootnote,saleoftangiblefixedassetsfootnot,subsidiaryundertakingsdisposalfo,subsidiaryundertakingspurchasefo,v507,interestpenaltiesaccruedbs,v509,investmentspermanentotherfootnot,v511,interestexpenselongtermdebtfootn,rentalexpensefootnote,v514,staffexpenseincomeaccountfootnot,expensetotalfootnote,v517,acceptancesoutstandingdatacode,v519,acquisitionsanddisposalsotherdat,v521,amortizationofintangiblesdatacod,amortizationofdeferredchargesdat,assetsotherdatacode,v525,assetsothersundrydatacode,accountspayabletradedatacode,v528,accountspayableincreasedecreased,customerdepositsshorttermfsmemod,acquisitionsdatacode,accountsreceivabledebtorstotalda,associatedundertakingsdisposalda,v534,appropriationstountaxedreservesd,v536,benefitsandclaimstotalinsuranced,customersacceptancedatacode,v539,v540,capitalexpendituresdatacode,commissionsandfeesbrokerdealerda,commissionsandfeesrealestatedata,commissionsandfeesotherdatacode,commissionsandfeespaidotherdatac,cashdatacode,cashanddepositssegregateddatacod,commercialpaperdatacode,v549,commonordinarystockcapitaldataco,customeradvancesdatacode,deferredchargesdatacode,currentdebtsourceoffundsdatacode,currentdebtuseoffundsdatacode,debtduein1styeardatacode,deferredpolicyacquisitioncostsda,v557,debtincurrentliabilitiestotaldat,currentdebtchangesdatacode,longtermdebtissuancedatacode,longtermdebtreductiondatacode,longtermdebttotaldatacode,discontinuedoperationscashflowda,depreciationandamortizationdatac,v565,v566,depositsdemandcustomerdatacode,depositssavingscustomerdatacode,depositsshorttermdemandbankdatac,depositstotalbanksdatacode,depositstotalcustomerdatacode,depositstimecustomerdatacode,cashdividendscashflowdatacode,dividendscommonordinarydatacode,dividendspreferredpreferencedata,v576,dividendsreceivedcashflowdatacod,developmentrevenuerealestatedata,dividendssharecapitalotherdataco,dividendstotaldatacode,exchangeadjustmentsassetsdatacod,equityinearningsaftertaxdatacode,v583,equitydividendpaiddatacode,exchangerateeffectdatacode,exchangerateeffectsourceoffundsd,exchangerateeffectuseoffundsdata,v588,v589,v590,v591,foreignexchangeincomelossdatacod,federalfundspurchaseddatacode,foreignexchangeassetsdatacode,foreignexchangeliabilitiesdataco,federalfundssolddatacode,financingincreasetotaldatacode,financeleaseincreasesdatacode,v599,goodwilldatacode,v601,v602,v603,v604,v605,v606,v607,investmentassetstotalinsuranceda,investmentbankingincomedatacode,v610,v611,v612,interestanddividendincomesundryd,v614,interestandrelatedincometotaldat,v616,investmentincomerealestatedataco,intangibleassetstotaldatacode,intangibleassetsdisposaldatacode,intangibleassetspurchasedatacode,interestcapitalizeddatacode,v622,interestelementoffinanceleasesda,v624,v625,interestpaiddatacode,interestreceiveddatacode,inventorydecreaseincreasedatacod,investmentsdisposaldatacode,inventoriestotaldatacode,incomeotherbrokerdealerdatacode,incomeotherinsurancedatacode,incomeotherrealestatedatacode,investmentpropertydatacode,insurancepremiumstotalinsuranced,v636,v637,v638,investmentsecuritiesotherdatacod,investmentsecuritiestotaldatacod,investmentandadvancesequitydatac,increaseininvestmentsdatacode,v643,investmentincometotalinsuranceda,investmentspermanenttotaldatacod,shortterminvestmentsdatacode,shortterminvestmentschangedataco,v648,loansclaimsadvancescommercialdat,loansclaimsadvancesconsumerdatac,loansclaimsadvancesgovernmentdat,loansclaimsadvancesleasedatacode,loansclaimsadvancesmortgagedatac,loansclaimsadvancesotherdatacode,loansclaimsadvancestotaldatacode,currentliabilitiesothersundrydat,loansclaimsadvancescustomerdatac,v658,v659,loanincreaseadditionsdatacode,loansmaderepaiddatacode,loanrepaymentsreductionsdatacode,longtermdebtchangedatacode,longtermdebtliabilitieschangedat,v665,v666,noncontrollinginterestcashflowda,v668,v669,v670,v671,netitemsotherdatacode,netitemtotaldatacode,v674,v675,v676,preacquisitionprofitsdatacode,v678,pensionliabilitieschangedatacode,v680,v681,participationrightscertificatesd,proposeddividendsdatacode,v684,v685,provisionscashflowdatacode,proceedsfromsaleoffixedassetsdat,v688,v689,v690,principaltransactionsdatacode,purchaseoftreasurysharesdatacode,provisionsothernetdatacode,provisionstotaldatacode,resaleagreementsdatacode,v696,reinsuranceassetstotalinsuranced,retainedearningsdatacode,v699,revenuetotaldatacode,revenueincomesundrydatacode,v702,reinsuranceliabilitiestotaldatac,repurchaseagreementsdatacode,reservesdatacode,v706,v707,equityreservestotaldatacode,revaluationreservedatacode,reservesreinsuranceinsurancedata,reservestotaldatacode,v712,reservesuntaxeddatacode,separateaccountassetsdatacode,separateaccountliabilitiesdataco,v716,securitiesincustodydatacode,sharecapitalotherdatacode,sharecapitaltransactionsotherdat,saleofinvestmentsdatacode,specialitemsdatacode,saleoffixedassetsgainlossdatacod,v723,securitiessoldnotyetpurchaseddat,saleofcommonandpreferredstockdat,shorttermborrowingsotherdatacode,saleoftangiblefixedassetsdatacod,v728,shortterminvestmentsotherdatacod,subsidiaryundertakingsdisposalda,subsidiaryundertakingspurchaseda,v732,v733,cumulativetranslationadjustmentd,treasurystocktotalallcapitaldata,treasurystocklongtermassetdataco,taxationdatacode,incometaxescurrentdatacode,deferredtaxescashflowdatacode,incometaxesdeferreddatacode,incometaxesotherdatacode,taxationoperatingactivitiesdatac,incometaxestotaldatacode,unearnedincomedatacode,unappropriatednetlossdatacode,v746,investmentspermanentotherdatacod,v748,v749,workingcapitalchangeuseoffundsda,v751,communicationsexpensedatacode,commissionsexpenseinsurancedatac,expensedevelopmentrealestatedata,equipmentandoccupancyexpensedata,extraordinaryitemsdatacode,v757,interestexpensedepositsbanksdata,interestexpensedepositscustomerd,interestexpensesundrydatacode,v761,interestandrelatedexpensetotalda,interestexpenselongtermdebtdatac,investmentexpenseinsurancedataco,expenseinvestmentrealestatedatac,staffexpensetotaldatacode,expenseotherbrokerdealerdatacode,expensesotherinsurancedatacode,expenseotherrealestatedatacode,prepaidexpensesdatacode,pensionexpensedatacode,expensesundrydatacode,staffexpenseincomeaccountdatacod,staffexpenseotherdatacode,staffexpensewagesandsalariesdata,comsharesoutstandingissuedatacod,issuedcapitaldatacode,v778,comsharesoutstandingissuefootnot,v780,v781,v782,v783,v784,netincomelossconsolidatedfootnot,v786,parvalueissuefootnote,addressline1,addressline2,addressline3,addressline4,postalcode,spbusinessdescription,ciknumber,city,companylegalname,countycode,researchcoreasonfordeletion,employeridentificationnumber,faxnumber,currentfiscalyearendmonth,gicgroups,gicindustries,gicsectors,gicsubindustries,internationaldomesticbothindicat,currentstateprovinceofincorporat,currentisocountrycodeheadquarter,northamericanindustryclassificat,phonenumber,currentprimaryissuetagcanada,primaryissuetagrestofworld,currentprimaryissuetagus,standardindustryclassificationco,spindustrysectorcode,speconomicsectorcode,spqualityrankingcurrent,stateprovince,stockownershipcode,weburl,researchcompanydeletiondate,companyinitialpublicofferingdate,ranking2010,ranking2011,ranking2012,ranking2013,ranking2014,ranking2015,sectorname,comp,size,roa,lev,dividend,roa_1,market_value_of_equity,growth_1,growth
15618,FS,HIST_STD,C,I,DI,,GB,,ZAR,Y,2015,12,188.61,1,,12,,5,,3,20151231,20160323,20160307,,,,2,,2,,,,,65,,23867,,23867,,,,710320,0,,,,1032,,,925726,,,,,,,,12,2.082,14.1,,17569,,,74754,,,,14948,,,22840,,,,,89733,,22840,,,,,,477,,,,,,,,,,445,,24706,,24706,,,35807,,,510,,,,,,,53729,656591,,0,0,0,,,,,,,51085,51595,,,31.688999,,,,,,,,,,1306,,,,,,,,,,,,,,,,,,5257,,,,,,,,,,,,10721,,,11162,115740,,,,,,60289,,,-2611,9010,,,,,,,,,,,,,,,,,,,,,,,,,,15,,79170,122230,,,,,,,,9611,36405,,66893,,,,,,,,,,,,33628,,,34040,661459,,,,,,,71886,925726,846975,,,,,3997,3997,,441,,,,,,,,,24706,17559,0,,17559,,,,,51085,51595,,,,,4789,14681,,8784,8784,,,,,,,,,,,,,4256,,20173,,,,11411,49959,,,1032,,1032,,,57678,-19672,,,,,,,,56708,,,,,,,,,,,,,74754,,,0,,,,,24706,,,16232,,,,2098,30488,78751,,,,,,3464,,,-24,,79,,,,412,3519,,,,,,,,,,,,,,,,,,,3110,,,,,,,,,,,,36404,,,,,7899,,,,,,,,,,,,,,,,44303,177,ZAE000004875,6628008,1,476.556,474.15201,22.610901,,22.610901,,,10721,,,17.856001,NEDBANK GROUP LTD,A,ZAF,522110,6020,,,,,,,,,,,,,,,,,,,,,,,,IE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,NC,,,,,Nedbank 135 Rivonia Campus,135 Rivonia Road,,,2196,"Nedbank Group Limited, through its subsidiary, Nedbank Limited, provides various banking products and services in South Africa. It offers personal banking solutions, including savings deposits and investment accounts; home and personal loans, student loans, vehicle finance, private wealth finance solutions, overdrafts, and credit cards; and investment plans and services, financial and estate planning services, and wills and trust services, as well as professional banking, wealth advisory and investment management, non-resident and embassy banking, unit trust, offshore portfolio, investment banking, and foreign exchange services. The company also provides business banking services, such as business and tender accounts; call, fixed, and flexi deposits; loans and structured solutions; value added services; payments and receipts, documentary credits and collections, guarantees, and trade finance; card and cash solutions; treasury solutions; cash management, electronic banking, and merchant payment and support services; life, asset, income and credit protection, funeral, business cover, liability cover, revenue cover, and owners' insurance products; and commodities, equities, fixed income, and structured credit products. In addition, the company offers corporate banking services comprising aircraft, asset based, carbon, export credit, global commodity, infrastructure, energy, telecoms, leveraged, mining, oil and gas, private equity, and public sector finance; corporate lending and advances, and specialized distribution products; custodial services; corporate finance and debt advisory services; and beta solutions, as well as corporate and institutional investments. The company was formerly known as Nedcor Limited and changed its name to Nedbank Group Limited in 2005. The company was founded in 1973 and is headquartered in Sandown, South Africa. Nedbank Group Limited is a subsidiary of Old Mutual Life Assurance Company (SA) Limited.",,Sandown,Nedbank Group Ltd,,,,,12,4010,401010,40,40101010,I,,ZAF,522110,,,01W,,6020,810,800,,,,www.nedbankgroup.co.za,,,,,,,,1,Financials,.0097329011,11.489848,.011581181,.065368153,0,.010488374,89883.227,,.14384176
15781,FS,HIST_STD,C,I,DI,,GB,,ZAR,Y,2015,12,113.5,1,,12,,5,,3,20151231,20160429,20160307,,,,10141,,4637,,,,,1564,,20138,,13961,762,,,1183342,762,,,,6829,,,1979349,,,,,,,,12.3,2.3610001,14.7,,23278,,,156563,,,,63711,,,49254,,,,,376498,,49254,,,,,,162,,,,673,,,,,,3119,,3074,,3074,,,27239,2741,,4683,15744,,,,,,137202,1046140,,0,0,377,,,,,377,,77435,82118,,,54.361,,,,,,,33414,,,,,,,,,,,,,,,,,,,,,4201,,,,,,,,,,,,21390,,,25360,211241,,,,,,91535,,,1571,24031,,,,,,,,,,,,,,,,,,219,,,,,,,,-284,,223566,397693,,,,,,,,91590,160642,,327244,145320,,,,,,,,,,,255957,,,276955,895206,,,,,,,579558,1979349,1800441,,,,,22336,22336,,3970,,,,,,,,,3074,,219,,219,,,,,77435,82118,,,,,9371,33547,,33414,17670,,,,,,,9,9,,,,,6466,,58349,,,,22652,124908,,,6829,,6829,,,93106,-72872,,,,,,,,133747,,,,,,,,,,,,,156572,,,-1663,,,,,3074,,,102293,,,,11016,170976,178908,,,624,,,7693,,,-494,,988,,,,4304,8187,,15816,,,,,,,,,,,,,,,16694,,6300,,,,,2741,,,,,,,42225,,,,,15671,,,,,,5504,5504,,,,,,,,,57896,177,ZAE000109815,B030GJ7,1,1601.418,1597.399,13.1545,,14.8704,,,21013,,,16.834,STANDARD BANK GROUP LTD,A,ZAF,522110,6020,,,BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,NC,,HB,,,Standard Bank Centre,9th Floor,5 Simmonds Street,,2001,"Standard Bank Group Limited, together with its subsidiaries, offers financial products and services in the Republic of South Africa and internationally.",1458478,Johannesburg,Standard Bank Group Ltd,,,,,12,4010,401010,40,40101010,B,,ZAF,522110,27 11 636 9111,,01W,90,6020,810,800,,,3,www.standardbank.co.za,,,,,,,,2,Financials,.012140861,12.249793,.010616117,.015314631,377,.011362694,181760.94,,.040205061
16183,FS,HIST_STD,C,I,DI,,GO,,ZAR,Y,2015,6,26.46,1,,12,,5,,3,20150630,20151004,20150912,,,,1097,,1097,,,,,102,,3934,,3408,145,,,,145,,,,419,,,106403,,,,,,,,,,,,,,,63369,,,,,,,505,,,,,505,,505,,,,,,41132,,,,526,,,5930,5930,,3,,5930,,5930,,,27979,,,105,,,,,,,,,,0,3135,0,,,,,3135,,11850,11955,,,.69999999,,,,,,,,,,58,,,,,,,,,,,,,,,,,,1868,,,,,,,,,,,,6955,,,7904,97678,,,,,,871,,7870,,2580,,,,,,,,,,,,,,,,,,,,,,3404,90926,,,,,,,,,,,,,,6844,,,,,,,,,,,1195,,,,515,,,1874,1195,,,,,,,2650,106403,38321,,,,,4713,4713,,949,,,,,,,,,,,,,,,,,,11850,11955,,,,,,8168,,,,,,,,,,,,,,,,1617,,,,,,,1207,,,1577,,1614,,37,13788,1643,,,,,,,,22883,,,,,,,,,,,,,63369,,,-1596,,,,,,,,,,,,,,68082,,,646,,,72,,,-192,,384,,,,31,264,,,,,6464,380,,,,,,,,,,,1328,,122,,,,,,,,,,,,2086,,,1464,,,,,,,410,,,,,,,,,,,4082,177,ZAE000179420,BBGB5W0,1,2680.4241,2359.7241,2.9474001,,2.9474001,,,6955,,,30.632,GROWTHPOINT PROPERTIES LTD,A,ZAF,531120,6798,,,BK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IU,,,,,,QP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,,NC,,,,,The Place,1 Sandton Drive,,,2196,"Growthpoint Properties Limited, together with its subsidiary, Growthpoint Properties Australia, operates as a property investment company. The company invests in and leases retail, office, and industrial properties. As of June 30, 2011, its portfolio comprised 424 properties in South Africa and 37 properties in Australia. The company was incorporated in 1987 and is based in Sandton, South Africa.",,Sandton,Growthpoint Properties Ltd,,,,27 11 944 6005,6,6010,601010,60,60101010,I,,ZAF,531120,27 11 944 6000,,01W,,6798,305,976,,,,www.growthpoint.co.za,,,,,,,,3,Real Estate,.024247436,9.3265038,.065364696,.31868464,3135,.043525949,70924.023,,.27820623
