globalcompanykey,primaryissuetagrestofworld,datayearfiscal,isocurrencycode,average_price,price_last_day
209952,01W,2016,ZAR,111.24652671755729,180.01
209955,01W,2015,ZAR,303.83409090909095,308.15
209955,01W,2016,ZAR,318.9991984732824,138.69
209961,01W,2015,ZAR,82.54347826086956,78.0
209961,01W,2016,ZAR,77.09198979591841,0.0
209964,01W,2015,ZAR,5.388129770992363,4.0
209972,01W,2015,ZAR,1.4772727272727273,1.6
209972,01W,2016,ZAR,1.4709541984732828,1.51
209980,01W,2015,ZAR,11.630434782608695,11.29
209980,01W,2016,ZAR,11.68601532567049,13.45
209985,01W,2015,GBP,5.610279862397601,5.622535015005735
209985,01W,2016,ZAR,92.44749999999999,0.0
209987,01W,2015,ZAR,50.81521739130434,52.29
209987,01W,2016,ZAR,55.99249999999999,0.0
209995,01W,2015,ZAR,0.30619047619047607,0.3
209995,01W,2016,ZAR,0.22575342465753398,0.0
210044,01W,2015,ZAR,3.6104347826086967,3.54
210044,01W,2016,ZAR,2.9909195402298847,2.23
210051,01W,2015,ZAR,141.7618181818182,138.99
210051,01W,2016,ZAR,147.56316793893117,155.52
210057,01W,2015,USD,3.1372509167057143,3.31644667704
210057,01W,2016,ZAR,46.76575342465754,0.0
210060,01W,2015,ZAR,159.50999999999996,166.97
210060,01W,2016,ZAR,164.0815267175573,161.8
210073,01W,2015,ZAR,27.93227272727273,28.44
210073,01W,2016,ZAR,21.107442748091618,20.3
210081,01W,2015,ZAR,0.5472727272727274,0.56
210081,01W,2016,ZAR,0.6620229007633592,0.84
210092,01W,2015,ZAR,24.520952380952384,28.0
210092,01W,2016,ZAR,25.384923664122102,28.0
210095,01W,2015,ZAR,150.76072519083965,136.5
210625,02W,2015,ZAR,0.17616858237547878,0.23
211046,01W,2015,ZAR,7.791363636363636,7.85
211046,01W,2016,ZAR,9.830839694656477,10.25
211053,01W,2015,ZAR,291.9827272727273,301.0
211053,01W,2016,ZAR,316.9533587786258,355.0
211059,01W,2015,ZAR,13.905238095238097,13.8
211059,01W,2016,ZAR,16.868401826484003,0.0
211061,01W,2015,ZAR,53.39913043478262,55.9
211061,01W,2016,ZAR,60.40158163265306,0.0
211104,01W,2015,ZAR,11.329545454545453,11.6
211104,01W,2016,ZAR,12.122786259541977,13.7
211111,01W,2015,ZAR,5.80409090909091,6.13
211111,01W,2016,ZAR,6.354007633587782,6.25
211126,01W,2015,ZAR,22.414782608695656,23.64
211126,01W,2016,ZAR,28.419132653061226,0.0
211127,01W,2015,ZAR,360.6945454545455,360.0
211127,01W,2016,ZAR,315.5429770992366,362.28
211148,02W,2015,ZAR,36.550000000000004,35.61
211148,02W,2016,ZAR,36.67129770992366,37.87
211161,01W,2015,ZAR,3.8995652173913053,4.4
211161,01W,2016,ZAR,4.218010204081635,0.0
211166,02W,2015,ZAR,161.9609090909091,173.5
211166,02W,2016,ZAR,157.25221374045802,166.32
211175,02W,2015,ZAR,175.0052173913043,177.43
211175,02W,2016,ZAR,179.1001020408163,0.0
211188,01W,2015,ZAR,18.779545454545456,19.0
211188,01W,2016,ZAR,21.82347328244276,23.6
211202,01W,2015,ZAR,5.92409090909091,5.6
211202,01W,2016,ZAR,5.032137404580163,5.25
211592,01W,2015,ZAR,8.686956521739129,8.75
211592,01W,2016,ZAR,11.04551724137933,12.1
211603,01W,2015,ZAR,181.73227272727271,185.5
211603,01W,2016,ZAR,149.47076335877875,149.48
211607,01W,2015,ZAR,107.10409090909091,99.0
211607,01W,2016,ZAR,114.17889312977101,125.82
211610,01W,2015,ZAR,193.93391304347827,189.5
211610,01W,2016,ZAR,223.17670498084283,234.0
211613,01W,2015,ZAR,7.729655172413801,7.0
211617,01W,2015,ZAR,2.6890909090909094,2.7
211617,01W,2016,ZAR,2.3541984732824393,2.5
211655,01W,2015,ZAR,136.84217391304347,132.89
211655,01W,2016,ZAR,128.71375478927195,126.17
211658,01W,2015,ZAR,4.556363636363636,4.54
211658,01W,2016,ZAR,4.564389312977101,4.8
211666,01W,2015,ZAR,0.20427480916030505,0.16
211674,02W,2015,GBP,1.4391888306088358,1.4452194468573814
211674,02W,2016,ZAR,26.12150684931505,0.0
212241,01W,2015,ZAR,31.385454545454547,31.53
