year2011,ranking_2011,year2012,ranking_2012,year2013,ranking_2013,year2014,ranking_2014,year2015,ranking_2015
,,pick 'n pay stores,4,mr price group,4,old mutual,4,rcl foods,4
,,redefine properties,4,naspers,4,omnia hldgs,4,remgro,4
,,remgro,4,pick 'n pay stores,4,pioneer food group,4,rmb holdings,4
,,resilient property income fund,4,pioneer food group,4,sanlam-sth afr nat life assr,4,santam,4
,,sa corporate real estate fund,4,steinhoff international hldgs,4,sibanye gold,4,south32,4
,,santam,4,telkom sa soc,4,sun international,4,super group,4
,,telkom sa soc,4,tiger brands,4,spar group,4,avi,5
,,tiger brands,4,tongaat hulett,4,tongaat-hulett,4,compagnie financie_re richemont s.a.,5
,,arcelormittal south africa,4,wilson bayly hommes ovc,4,avi,5,eoh hldgs,5
,,afrox,5,capital property fund,5,capital property fund,5,erin energy corporation,5
,,avi,5,caxton & ctp pubers & print,5,eoh hldgs,5,famous brands,5
,,capital property fund,5,eoh hldgs,5,famous brands,5,fortress income fund-a,5
,,caxton & ctp pubers & print,5,famous brands,5,hosken consolidated invts,5,hosken consolidated invts,5
,,compagnie financiere richemont sa,5,hosken consolidated invts,5,new europe property investments,5,italtile,5
,,hosken consolidated invts,5,invicta holdings,5,psg group,5,naspers,5
,,new europe property investments,5,new europe property investments,5,rand merchant insurance holdings,5,net 1 ueps technologies inc,5
,,northam platinum,5,psg group,5,reinet investments s.c.a.,5,new europe property investments,5
,,psg group,5,rand merchant insurance holdings,5,resilient properties income fund,5,oakbay resources and energy,5
,,rand merchant insurance hldgs,5,reinet investments s.c.a.,5,compagnie financie_re richemont,5,reinet investments s.c.a.,5
,,reinet investments,5,resilient property income fund,5,rmb holdings,5,resilient reit,5
,,rmb holdings,5,richemont sa,5,rockcastle global real estate company,5,rockcastle global real estate company,5
,,shoprite holdings,5,rmb holdings,5,shoprite hldgs,5,shoprite hldgs,5
,,spar group,5,shoprite hldgs,5,tiger brands,5,steinhoff international holdings n.v.,5
,,trencor,5,spar group,5,trencor,5,vukile property fund,5
,,uranium one,5,trencor,5,zeder investments,5,zeder investments,5
